0,A,B,C,D,E,F,G,H,I,J,L,M,N,O,P,Q,S,T,U,V,W
2018-02-18,4168.771428571429,669687.1285714286,6076.571428571428,1792714.7297946287,119374.36071428572,187695.64285714287,120143.95714285714,2092862.7142857143,2806498.714285714,401465.0382428572,432564.0113271429,492416.26335714286,1229064.4285714286,1595327.2571428572,1435704.5357142857,161902.95714285714,911668.3124142856,1716978.3214285714,0.0,1007503.7285714288,236590.1385714286
2018-02-19,4695.785714285715,669492.2999999999,5943.428571428572,1822906.4043089144,118238.03571428572,187947.89285714287,120760.58571428571,2085192.142857143,2784073.714285714,400098.9661571429,433785.98199,494594.4071571428,1238048.2857142857,1586556.257142857,1430963.4642857143,164160.9857142857,911110.4845,1723516.392857143,0.0,1005515.5,235160.43571428573
2018-02-20,4926.3,664368.3857142857,5881.428571428572,1814324.1992803428,116641.52142857145,187141.3392857143,121050.6,2074815.0,2767605.1428571427,397955.3256714285,432137.6549057142,488920.7809,1227649.2857142857,1566603.1714285712,1425263.892857143,163578.97142857144,905907.8527428572,1724294.0357142857,0.0,989273.7714285712,231053.88428571427
2018-02-21,5079.714285714285,660861.0,5849.857142857143,1780590.161480343,113876.59285714288,185994.55357142855,120190.34285714288,2043203.0,2736505.4285714286,394367.4740857143,425648.8663528571,482734.2469571429,1205137.857142857,1550220.3857142858,1418103.642857143,162808.4,894749.1524714286,1726038.75,0.0,969647.7285714286,225732.0
2018-02-22,5718.485714285714,651229.2142857143,6184.142857142857,1708659.9309486286,107462.12142857142,182830.5,118763.9857142857,2018681.5714285716,2670265.4285714286,394773.94364285714,417160.2925257143,466642.5466571428,1186562.5714285714,1534422.1285714284,1407527.892857143,163493.0,886216.0501285715,1724259.75,0.0,943676.042857143,214162.66857142857
2018-02-23,7245.714285714285,645798.7428571429,6734.142857142857,1638382.8290285715,102000.88928571428,180045.17857142858,118167.01428571428,2012927.5714285716,2649787.285714286,403442.7045857143,421272.7643114286,458552.0362714286,1184247.7142857143,1570135.1714285712,1405791.3214285714,166000.41428571427,889328.2976857142,1738340.25,0.0,932862.8,203675.55
2018-02-24,9025.471428571427,642540.5571428571,6918.571428571428,1581758.6770285715,100121.30357142857,178308.2857142857,117334.78571428572,2005564.857142857,2650918.0,404225.8629142857,421690.79054,453652.8834714285,1189406.7142857143,1596180.2428571428,1407074.142857143,162410.5,900743.2916285712,1754477.7857142857,0.0,919680.2142857144,195426.19571428568
2018-02-25,11203.357142857143,639905.3571428572,6960.714285714285,1473559.1246428571,99890.91428571429,177315.5,117038.1,1999261.857142857,2627018.1428571427,406102.5807142857,418285.6399285714,449753.36242857145,1184605.4285714286,1582189.3,1405650.857142857,161492.18571428573,893990.0843999999,1734186.4285714286,0.0,911291.9714285714,188745.57
2018-02-26,12434.8,635854.5285714286,7069.285714285715,1443730.989542857,98898.51428571428,176271.25,117068.47142857144,1993787.142857143,2623192.0,403013.3729628571,413814.12754285714,445210.3840428572,1184804.5714285714,1577752.6285714286,1407205.8214285714,163017.68571428573,891006.4376857142,1717976.892857143,0.0,899951.3571428572,186041.0314285714
2018-02-27,12230.1,632973.2571428571,7055.714285714285,1435989.158342857,98136.78214285712,175590.125,117207.0,1993240.4285714289,2629370.285714286,401673.9128485714,415943.9482414286,445179.5327714286,1189792.5714285714,1583822.5428571429,1408975.607142857,162941.7142857143,889316.3566285714,1710989.5714285714,0.0,895985.7285714287,185481.8457142857
2018-02-28,12031.285714285714,627847.3428571428,6998.857142857143,1423483.5548571427,96879.525,173731.4107142857,117197.14285714286,1979308.4285714289,2597907.4285714286,398707.67233428574,411387.9214185714,441401.9804714286,1187760.7142857143,1563793.485714286,1404516.107142857,157721.7714285714,878889.1441714285,1708327.392857143,0.0,891445.0428571429,182325.2228571429
2018-03-01,12801.0,627918.0714285715,6862.857142857143,1430000.3712000002,97352.11071428572,172483.5892857143,117492.97142857144,1986522.5714285716,2614463.1428571427,398911.1925771428,413662.0680485714,448397.7759428572,1201377.142857143,1578716.6142857145,1404247.9285714286,159679.3,886391.3833857143,1709360.142857143,0.0,885059.7714285713,181047.36
2018-03-02,11792.32857142857,625496.9571428571,6749.0,1423945.5086571428,97878.33214285714,171454.94642857142,117408.68571428572,1984421.0,2632153.8571428573,397264.38189142855,413490.8170814286,445425.9546714286,1200046.5714285714,1584395.3,1405636.9285714286,156938.2857142857,890588.404857143,1705956.107142857,0.0,875419.1857142857,180597.04
